ID;tiposello;nombre;provincia;resolucion;zona;lat;long
1;DO;Chivito Criollo del Norte Neuquino;Neuquén;Resolución N° 950/2010;La zona correspondiente a la DO Chivito Criollo del Norte Neuquino se ubica al Norte de la provincia de Neuquén (Patagonia, Argentina) y comprende la totalidad de los departamentos Minas y Chos Malal y parte de los departamentos Pehuenches, Ñorquín, Añelo y Loncopue en un área de aproximadamente 25.000 km²;-37.377675673079;-70.27062341304305
2;DO;Salame de Tandil;Buenos Aires;Resolución N° 986/2011;Sistema serrano de Tandilia;-37.318872924949645;-58.959747172797314
3;IG;Salame típico de Colonia Caroya;Córdoba;Resolución N° 37/2014;Comprende el área delimitada por la zona sistematizada de riego en la cual se instalaron inicialmente las culturas friulana y véneta: Colonia Caroya (ubicada a 50 Km al norte de la ciudad de Córdoba) y Colonia Vicente Agüero (al NE de Colonia Caroya).;-31.013104126698543;-64.07057771540556
4;IG;Cordero Patagónico;Buenos Aires;Res. N° 326/2014;La zona geográfica definida para la IG Cordero Patagónico corresponde al territorio comprendido al sur del Río Colorado, constituida por las provincias de Neuquén, Río Negro, Chubut, Santa Cruz y Tierra del Fuego e Islas del Atlántico Sur y el Partido de Carmen de Patagones de la Provincia de Buenos Aires.;-51.622583306405616;-69.2133867849778
5;IG;Cordero Patagónico;Tiera del Fuego;Res. N° 326/2014;;-54.8078245726577;-68.30383556929308
6;IG;Cordero Patagónico;Santa Cruz;Res. N° 326/2014;;-40.844050383267565;-68.08771196241997
7;IG;Cordero Patagónico;Neuquen;Res. N° 326/2014;;-39.236552184848456;-70.91912988067182
8;IG;Cordero Patagónico;Chubut;Res. N° 326/2014;;-45.68893694314819;-70.25370988930362
9;IG;Melón de Media Agua;San Juan;Resolución N° 549/2014;La región definida por los productores es el Departamento Sarmiento, ubicado al sur de la provincia de San Juan, al este de las sierras de Pedernal y Chica de Zonda.;-31.982703337473044;-68.42874133664469
10;IG;Yerba Mate Argentina;Misiones - Norte de Corrientes;"Resolucion N° 13/2016
";Provincia de Misiones completa y norte de Corrientes, departamentos de Ituzaingó y Santo Tomé.;-27.36124378873346;-55.898939165296625
11;IG;"Alcauciles Platenses
";Buenos Aires;Resolución N° 31/2016;La zona delimitada para la producción del alcaucil platense está dentro del cinturón hortícola platense.;-34.92021973896961;-57.9499095638351
12;DO;Dulce de Membrillo Rubio;San Juan;Resolución 14/2018;Valle del Tulum;-31.658447489609937;-68.41264173925575
13;DO;Espárragos de Médano de Oro;San Juan;Resolución N° 107/2021;"El área definida como límite de uso del sello de valorización (DO) se identifica con el Médano de Oro (Villa cabecera Bolaños), Colonia Rodas, Colonia Fiscal y Colonia Pan Azúcar.

El área se localiza en el departamento de Rawson, a unos 10 km del aglomerado urbano de San Juan.";-31.605261742264208;-68.44717802205298
14;IG;Aceite de Oliva Virgen Extra de Mendoza;Mendoza;Resolución N° 31/2022;El área definida para el uso de la IG se encuentra comprendida en la Provincia de Mendoza, en los departamentos de Lavalle, Las Heras, Luján de Cuyo, Maipú, Guaymallén, San Martín, Junín, Rivadavia, Santa Rosa y La Paz, San Rafael y General Alvear.;-32.889532063318065;-68.8437564356308
15;IG;Kiwi Mar y Sierras del Sudeste de Buenos Aires;Buenos Aires;Resolución N° 33/2022;Delimitación del territorio de la IG corresponde al Sudeste de la provincia de Buenos Aires. Son nueve Partidos de la costa Atlántica y zona serrana: Balcarce, Gral. Alvarado, Gral. Madariaga, Gral. Pueyrredón, Lobería, Mar Chiquita, Necochea, San Cayetano, Tres Arroyos;-38.00825480074148;-57.54424176617204
16;IG;Miel de Azahar de Limón de Tucumán+D18:G18;Tucumán;Resolución N° 223/2023;Desde Burruyacú en el extremo norte hasta La Cocha en el sur, teniendo predominancia la región agroecológica del Pedemonte y, en menor medida, la llanura Chacopampeana. ;-27.053801241302388;-65.40379782856782
17;IG;Miel del Monte Nativo Cordobés;Córdoba;Resolución N° 18/2024;Departamentos Cruz del Eje, Ischilín, Minas, Pocho, Río Seco, San Alberto, San Javier, Sobremonte y Tulumba.;-30.7829842318447;-64.63685672416031
18;IG;Té Argentino;Misiones - Norte de Corrientes;Resolución N° 126/2024;La provincia de Misiones y Norte de Corrientes;-27.487178400203007;-55.12047808128885
